<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.10	22:00:00	105.495	105.640	105.293	105.633	2957	0	6
2020.03.10	23:00:00	105.637	105.656	105.243	105.270	4269	0	6
2020.03.11	00:00:00	105.269	105.376	105.002	105.105	3826	0	6
2020.03.11	01:00:00	105.103	105.238	104.813	105.040	3629	0	6
2020.03.11	02:00:00	105.041	105.250	104.774	104.917	7218	0	6
2020.03.11	03:00:00	104.918	105.055	104.658	104.761	4696	0	6
2020.03.11	04:00:00	104.762	105.008	104.679	104.858	3735	0	6
2020.03.11	05:00:00	104.858	105.000	104.607	104.737	3871	0	6
2020.03.11	06:00:00	104.743	104.751	104.388	104.433	3423	0	6
2020.03.11	07:00:00	104.433	104.433	104.093	104.153	4639	0	6
2020.03.11	08:00:00	104.156	104.569	104.156	104.371	5021	0	6
2020.03.11	09:00:00	104.370	105.075	104.343	105.017	8749	0	6
2020.03.11	10:00:00	105.017	105.329	104.867	105.251	9726	0	6
2020.03.11	11:00:00	105.254	105.312	104.931	105.047	7143	0	6
2020.03.11	12:00:00	105.048	105.106	104.837	104.989	5670	0	6
2020.03.11	13:00:00	104.990	105.024	104.613	104.736	5922	0	6
2020.03.11	14:00:00	104.736	104.996	104.368	104.440	7256	0	6
2020.03.11	15:00:00	104.441	104.851	104.414	104.609	7337	0	6
2020.03.11	16:00:00	104.610	104.814	104.432	104.609	7612	0	6
2020.03.11	17:00:00	104.610	105.028	104.537	104.817	7303	0	6
2020.03.11	18:00:00	104.818	105.129	104.701	104.963	7116	0	6
2020.03.11	19:00:00	104.964	104.980	104.624	104.744	6760	0	6
2020.03.11	20:00:00	104.744	104.813	104.525	104.590	6547	0	6
2020.03.11	21:00:00	104.595	104.808	104.227	104.706	8829	0	6
2020.03.11	22:00:00	104.707	104.729	104.425	104.465	2490	0	6
2020.03.11	23:00:00	104.496	104.510	104.341	104.452	1528	0	6
2020.03.12	00:00:00	104.450	104.759	104.391	104.729	3082	0	6
2020.03.12	01:00:00	104.728	104.802	104.431	104.533	3537	0	6
2020.03.12	02:00:00	104.537	104.656	104.356	104.601	5304	0	6
2020.03.12	03:00:00	104.601	104.719	103.333	103.488	12133	0	6
2020.03.12	04:00:00	103.488	103.583	103.080	103.384	7060	0	6
2020.03.12	05:00:00	103.382	103.524	103.216	103.366	3177	0	6
2020.03.12	06:00:00	103.370	104.283	103.365	104.023	5692	0	6
2020.03.12	07:00:00	104.023	104.101	103.792	103.832	3126	0	6
2020.03.12	08:00:00	103.832	103.876	103.600	103.702	3780	0	6
2020.03.12	09:00:00	103.701	103.939	103.549	103.670	10455	0	6
2020.03.12	10:00:00	103.670	103.803	103.506	103.753	7672	0	6
2020.03.12	11:00:00	103.754	104.037	103.562	103.843	5410	0	6
2020.03.12	12:00:00	103.842	103.913	103.642	103.846	4460	0	6
2020.03.12	13:00:00	103.847	103.847	103.693	103.719	3901	0	6
2020.03.12	14:00:00	103.718	104.210	103.510	104.029	9950	0	6
2020.03.12	15:00:00	104.029	104.721	103.853	104.718	10146	0	6
2020.03.12	16:00:00	104.727	105.495	104.612	105.058	15422	0	6
2020.03.12	17:00:00	105.057	105.852	105.039	105.669	14362	0	6
2020.03.12	18:00:00	105.662	105.717	104.848	105.287	12387	0	6
2020.03.12	19:00:00	105.289	106.098	105.033	105.385	13502	0	6
2020.03.12	20:00:00	105.386	105.393	105.020	105.188	8404	0	6
2020.03.12	21:00:00	105.190	105.496	105.178	105.331	9028	0	6
2020.03.12	22:00:00	105.335	105.372	104.608	104.615	6031	0	6
2020.03.12	23:00:00	104.630	104.926	104.618	104.857	3535	0	6
2020.03.13	00:00:00	104.850	104.898	104.606	104.793	8663	0	6
2020.03.13	01:00:00	104.785	104.944	104.502	104.667	5602	0	6
2020.03.13	02:00:00	104.664	105.200	104.655	105.084	8398	0	6
2020.03.13	03:00:00	105.083	105.135	104.677	105.030	8302	0	6
2020.03.13	04:00:00	105.028	105.277	104.959	105.018	8251	0	6
2020.03.13	05:00:00	105.018	105.069	104.894	104.946	7277	0	6
2020.03.13	06:00:00	104.944	105.667	104.924	105.591	9388	0	6
2020.03.13	07:00:00	105.589	106.009	105.498	105.590	11592	0	6
2020.03.13	08:00:00	105.589	105.630	105.317	105.542	9678	0	6
2020.03.13	09:00:00	105.541	105.982	105.336	105.825	8651	0	6
2020.03.13	10:00:00	105.826	106.228	105.759	105.846	6523	0	6
2020.03.13	11:00:00	105.839	106.274	105.759	106.260	3297	0	6
2020.03.13	12:00:00	106.260	106.566	106.196	106.260	4022	0	6
2020.03.13	13:00:00	106.260	106.906	106.209	106.887	4174	0	6
2020.03.13	14:00:00	106.889	107.495	106.735	107.294	10860	0	6
2020.03.13	15:00:00	107.298	107.366	106.685	106.817	11661	0	6
2020.03.13	16:00:00	106.816	107.263	106.786	106.986	12904	0	6
2020.03.13	17:00:00	106.983	107.215	106.734	107.131	13164	0	6
2020.03.13	18:00:00	107.130	107.939	106.977	107.759	13351	0	6
2020.03.13	19:00:00	107.757	107.995	107.607	107.655	11332	0	6
2020.03.13	20:00:00	107.657	108.188	107.383	108.154	12167	0	6
2020.03.13	21:00:00	108.155	108.501	107.903	108.222	8514	0	6
2020.03.13	22:00:00	108.237	108.380	107.883	108.007	4039	0	6
2020.03.15	23:00:00	107.144	107.258	106.443	107.046	1076	0	6
2020.03.16	00:00:00	107.044	107.084	105.766	106.406	15594	0	6
2020.03.16	01:00:00	106.400	106.846	105.725	106.497	15042	0	6
2020.03.16	02:00:00	106.496	107.103	106.297	106.910	12410	0	6
2020.03.16	03:00:00	106.908	107.365	106.796	107.345	6136	0	6
2020.03.16	04:00:00	107.338	107.569	106.994	107.155	5378	0	6
2020.03.16	05:00:00	107.153	107.155	106.732	106.893	4361	0	6
2020.03.16	06:00:00	106.892	107.270	106.778	106.786	5120	0	6
2020.03.16	07:00:00	106.787	107.074	106.334	106.479	6795	0	6
2020.03.16	08:00:00	106.468	106.578	106.155	106.430	4694	0	6
2020.03.16	09:00:00	106.429	106.738	106.229	106.588	9834	0	6
2020.03.16	10:00:00	106.588	106.676	106.005	106.032	6158	0	6
2020.03.16	11:00:00	106.032	106.127	105.788	105.929	5955	0	6
2020.03.16	12:00:00	105.930	106.081	105.703	105.914	6775	0	6
2020.03.16	13:00:00	105.915	106.048	105.700	105.703	5316	0	6
2020.03.16	14:00:00	105.705	105.851	105.144	105.304	11887	0	6
2020.03.16	15:00:00	105.303	106.022	105.268	105.769	12392	0	6
2020.03.16	16:00:00	105.772	106.376	105.597	106.259	11916	0	6
2020.03.16	17:00:00	106.259	106.472	105.582	105.675	9638	0	6
2020.03.16	18:00:00	105.676	106.008	105.600	105.697	11216	0	6
2020.03.16	19:00:00	105.698	105.986	105.598	105.951	16023	0	6
2020.03.16	20:00:00	105.948	106.242	105.853	106.134	15137	0	6
2020.03.16	21:00:00	106.134	106.441	105.744	105.840	15587	0	6
2020.03.16	22:00:00	105.841	106.105	105.828	105.947	3389	0	6
2020.03.16	23:00:00	105.890	106.008	105.869	105.896	2463	0	7
2020.03.17	00:00:00	105.895	106.305	105.892	106.290	7043	0	6
2020.03.17	01:00:00	106.290	106.350	106.078	106.218	11900	0	6
2020.03.17	02:00:00	106.217	106.659	106.073	106.589	14025	0	6
2020.03.17	03:00:00	106.591	107.188	106.559	106.692	16275	0	6
2020.03.17	04:00:00	106.693	106.749	106.295	106.334	15880	0	6
2020.03.17	05:00:00	106.336	106.562	106.164	106.499	16046	0	6
2020.03.17	06:00:00	106.500	106.673	106.376	106.590	11648	0	6
2020.03.17	07:00:00	106.591	106.638	106.351	106.422	10890	0	6
2020.03.17	08:00:00	106.420	106.716	106.229	106.637	10087	0	6
2020.03.17	09:00:00	106.639	106.900	106.557	106.899	15596	0	6
2020.03.17	10:00:00	106.868	107.033	106.599	106.833	12032	0	6
2020.03.17	11:00:00	106.837	106.848	106.292	106.572	10547	0	6
2020.03.17	12:00:00	106.569	107.043	106.529	107.015	12787	0	6
2020.03.17	13:00:00	107.019	107.142	106.727	106.748	12117	0	6
2020.03.17	14:00:00	106.749	107.066	106.710	107.051	11295	0	6
2020.03.17	15:00:00	107.051	107.142	106.768	106.863	12978	0	6
2020.03.17	16:00:00	106.862	107.425	106.804	107.295	17595	0	6
2020.03.17	17:00:00	107.294	107.589	107.139	107.405	14317	0	6
2020.03.17	18:00:00	107.406	107.571	107.304	107.564	11151	0	6
2020.03.17	19:00:00	107.565	107.665	107.227	107.393	11928	0	6
2020.03.17	20:00:00	107.391	107.859	107.376	107.851	8104	0	6
2020.03.17	21:00:00	107.852	107.853	107.627	107.683	6932	0	6
2020.03.17	22:00:00	107.683	107.733	107.532	107.580	2268	0	6
2020.03.17	23:00:00	107.651	107.719	107.570	107.648	2094	0	6
2020.03.18	00:00:00	107.649	107.684	107.215	107.251	10473	0	6
2020.03.18	01:00:00	107.254	107.440	107.224	107.383	11882	0	6
2020.03.18	02:00:00	107.383	107.568	107.274	107.379	13348	0	6
2020.03.18	03:00:00	107.377	107.409	107.091	107.259	12421	0	6
2020.03.18	04:00:00	107.259	107.307	107.131	107.251	9572	0	6
2020.03.18	05:00:00	107.252	107.301	107.059	107.116	11614	0	6
2020.03.18	06:00:00	107.117	107.244	107.104	107.222	8008	0	6
2020.03.18	07:00:00	107.222	107.262	106.940	107.036	6699	0	6
2020.03.18	08:00:00	107.034	107.096	106.753	107.035	6153	0	6
2020.03.18	09:00:00	107.038	107.416	106.957	107.416	11353	0	6
2020.03.18	10:00:00	107.415	107.604	107.236	107.551	10657	0	6
2020.03.18	11:00:00	107.553	107.572	107.286	107.320	10064	0	6
2020.03.18	12:00:00	107.323	107.350	107.082	107.319	8954	0	6
2020.03.18	13:00:00	107.319	107.536	107.226	107.275	8251	0	6
2020.03.18	14:00:00	107.274	107.645	107.274	107.638	9534	0	6
2020.03.18	15:00:00	107.640	108.093	107.599	107.955	11808	0	6
2020.03.18	16:00:00	107.955	108.133	107.729	108.070	13798	0	6
2020.03.18	17:00:00	108.069	108.498	108.008	108.429	8571	0	6
2020.03.18	18:00:00	108.431	108.544	108.117	108.357	12763	0	6
2020.03.18	19:00:00	108.358	108.654	108.116	108.434	15540	0	6
2020.03.18	20:00:00	108.436	108.542	107.744	107.950	13639	0	6
2020.03.18	21:00:00	107.948	108.328	107.829	108.108	17584	0	6
2020.03.18	22:00:00	108.110	108.183	107.967	108.056	2360	0	6
2020.03.18	23:00:00	108.074	108.091	107.881	108.062	907	0	9
2020.03.19	00:00:00	108.064	108.246	107.995	108.009	6933	0	6
2020.03.19	01:00:00	108.007	108.403	107.988	108.360	13026	0	6
2020.03.19	02:00:00	108.356	108.948	108.194	108.805	11693	0	6
2020.03.19	03:00:00	108.804	109.059	108.583	108.793	12621	0	6
2020.03.19	04:00:00	108.791	109.495	108.758	109.066	12156	0	6
2020.03.19	05:00:00	109.064	109.394	108.975	109.283	10373	0	6
2020.03.19	06:00:00	109.287	109.553	108.979	109.069	10646	0	6
2020.03.19	07:00:00	109.070	109.071	108.762	108.838	11833	0	6
2020.03.19	08:00:00	108.837	108.957	108.451	108.571	16917	0	6
2020.03.19	09:00:00	108.569	109.236	108.543	109.153	19827	0	6
2020.03.19	10:00:00	109.153	109.208	108.813	108.911	12196	0	6
2020.03.19	11:00:00	108.908	109.168	108.821	109.146	9173	0	6
2020.03.19	12:00:00	109.145	109.477	108.970	109.475	10081	0	6
2020.03.19	13:00:00	109.476	109.962	109.414	109.900	7833	0	6
2020.03.19	14:00:00	109.897	109.998	109.515	109.775	13140	0	6
2020.03.19	15:00:00	109.774	110.004	109.545	109.985	14433	0	6
2020.03.19	16:00:00	109.986	110.177	109.617	109.758	13063	0	6
2020.03.19	17:00:00	109.757	110.092	109.636	110.073	10061	0	6
2020.03.19	18:00:00	110.074	110.203	110.007	110.192	15313	0	6
2020.03.19	19:00:00	110.190	110.381	110.047	110.375	15167	0	6
2020.03.19	20:00:00	110.377	110.836	110.320	110.676	14096	0	6
2020.03.19	21:00:00	110.677	110.951	110.588	110.731	15726	0	6
2020.03.19	22:00:00	110.730	110.758	110.440	110.647	3726	0	6
2020.03.19	23:00:00	110.703	110.945	110.678	110.892	1178	0	10
2020.03.20	00:00:00	110.892	110.955	110.689	110.855	8036	0	6
2020.03.20	01:00:00	110.849	111.362	110.832	111.311	8403	0	6
2020.03.20	02:00:00	111.312	111.336	111.045	111.143	7778	0	6
2020.03.20	03:00:00	111.144	111.196	110.110	110.421	7991	0	6
2020.03.20	04:00:00	110.414	110.516	109.992	110.169	6452	0	6
2020.03.20	05:00:00	110.168	110.318	109.992	110.171	4788	0	6
2020.03.20	06:00:00	110.171	110.236	109.926	109.940	4270	0	6
2020.03.20	07:00:00	109.941	110.075	109.773	110.027	4554	0	6
2020.03.20	08:00:00	110.030	110.095	109.636	109.840	3795	0	6
2020.03.20	09:00:00	109.839	109.961	109.328	109.507	12361	0	6
2020.03.20	10:00:00	109.508	109.968	109.484	109.906	11427	0	6
2020.03.20	11:00:00	109.905	110.279	109.801	110.256	9670	0	6
2020.03.20	12:00:00	110.257	110.257	109.825	109.964	5317	0	6
