<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.09	06:00:00	1.20806	1.20866	1.20799	1.20859	1463	0	7
2023.02.09	07:00:00	1.20859	1.20932	1.20790	1.20879	3212	0	6
2023.02.09	08:00:00	1.20880	1.21022	1.20865	1.20981	2703	0	6
2023.02.09	09:00:00	1.20987	1.21061	1.20857	1.20947	5097	0	6
2023.02.09	10:00:00	1.20944	1.21365	1.20944	1.21243	6920	0	6
2023.02.09	11:00:00	1.21244	1.21426	1.21222	1.21406	4393	0	6
2023.02.09	12:00:00	1.21407	1.21584	1.21306	1.21504	4940	0	6
2023.02.09	13:00:00	1.21504	1.21509	1.21320	1.21470	3435	0	6
2023.02.09	14:00:00	1.21470	1.21648	1.21460	1.21605	3666	0	6
2023.02.09	15:00:00	1.21605	1.21918	1.21551	1.21918	6359	0	6
2023.02.09	16:00:00	1.21918	1.21936	1.21726	1.21753	7255	0	6
2023.02.09	17:00:00	1.21757	1.21902	1.21602	1.21700	8025	0	6
2023.02.09	18:00:00	1.21699	1.21703	1.21426	1.21558	6646	0	6
2023.02.09	19:00:00	1.21558	1.21599	1.21305	1.21417	4086	0	6
2023.02.09	20:00:00	1.21416	1.21416	1.21215	1.21290	5473	0	6
2023.02.09	21:00:00	1.21290	1.21359	1.21152	1.21179	5012	0	6
2023.02.09	22:00:00	1.21179	1.21225	1.21107	1.21160	5043	0	6
2023.02.09	23:00:00	1.21158	1.21185	1.21111	1.21175	2565	0	6
2023.02.10	00:00:00	1.21166	1.21213	1.21166	1.21190	205	0	9
2023.02.10	01:00:00	1.21201	1.21215	1.21144	1.21151	2280	0	6
2023.02.10	02:00:00	1.21151	1.21167	1.21064	1.21156	2062	0	6
2023.02.10	03:00:00	1.21157	1.21162	1.21000	1.21095	2991	0	6
2023.02.10	04:00:00	1.21095	1.21102	1.20936	1.20941	1762	0	6
2023.02.10	05:00:00	1.20938	1.20975	1.20893	1.20913	1782	0	6
2023.02.10	06:00:00	1.20914	1.20973	1.20893	1.20928	1433	0	7
2023.02.10	07:00:00	1.20928	1.21040	1.20923	1.21009	2059	0	6
2023.02.10	08:00:00	1.21007	1.21099	1.20999	1.21045	2705	0	6
2023.02.10	09:00:00	1.21045	1.21226	1.20894	1.21201	8589	0	6
2023.02.10	10:00:00	1.21201	1.21388	1.21019	1.21310	8583	0	6
2023.02.10	11:00:00	1.21309	1.21382	1.20965	1.20997	8575	0	6
2023.02.10	12:00:00	1.20995	1.21151	1.20798	1.21126	5580	0	6
2023.02.10	13:00:00	1.21125	1.21179	1.20998	1.21083	4528	0	6
