<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.09	11:00:00	1.12666	1.12700	1.12407	1.12614	5480	0	6
2020.06.09	12:00:00	1.12613	1.12736	1.12551	1.12667	3743	0	6
2020.06.09	13:00:00	1.12668	1.12832	1.12611	1.12817	4116	0	6
2020.06.09	14:00:00	1.12817	1.12842	1.12684	1.12816	3460	0	6
2020.06.09	15:00:00	1.12815	1.13020	1.12793	1.12994	3879	0	6
2020.06.09	16:00:00	1.12992	1.13573	1.12965	1.13486	6768	0	6
2020.06.09	17:00:00	1.13485	1.13562	1.13327	1.13537	6504	0	6
2020.06.09	18:00:00	1.13536	1.13635	1.13392	1.13471	4369	0	6
2020.06.09	19:00:00	1.13471	1.13538	1.13423	1.13423	2591	0	6
2020.06.09	20:00:00	1.13424	1.13476	1.13324	1.13455	2231	0	6
2020.06.09	21:00:00	1.13451	1.13478	1.13406	1.13447	1665	0	6
2020.06.09	22:00:00	1.13447	1.13448	1.13358	1.13364	1227	0	6
2020.06.09	23:00:00	1.13367	1.13379	1.13309	1.13364	680	0	6
2020.06.10	00:00:00	1.13362	1.13401	1.13339	1.13350	676	0	6
2020.06.10	01:00:00	1.13355	1.13396	1.13348	1.13387	640	0	6
2020.06.10	02:00:00	1.13387	1.13410	1.13312	1.13318	955	0	6
2020.06.10	03:00:00	1.13320	1.13445	1.13320	1.13392	1300	0	6
2020.06.10	04:00:00	1.13393	1.13458	1.13378	1.13383	1220	0	6
2020.06.10	05:00:00	1.13382	1.13444	1.13376	1.13429	1095	0	6
2020.06.10	06:00:00	1.13430	1.13455	1.13404	1.13423	672	0	6
2020.06.10	07:00:00	1.13422	1.13456	1.13406	1.13425	706	0	6
2020.06.10	08:00:00	1.13426	1.13694	1.13414	1.13621	1999	0	6
2020.06.10	09:00:00	1.13621	1.13689	1.13502	1.13510	3328	0	6
2020.06.10	10:00:00	1.13504	1.13619	1.13430	1.13594	4271	0	6
2020.06.10	11:00:00	1.13594	1.13754	1.13583	1.13688	3542	0	6
2020.06.10	12:00:00	1.13689	1.13715	1.13548	1.13590	3171	0	6
2020.06.10	13:00:00	1.13592	1.13729	1.13479	1.13650	2934	0	6
2020.06.10	14:00:00	1.13649	1.13891	1.13635	1.13855	3874	0	6
2020.06.10	15:00:00	1.13856	1.13886	1.13636	1.13800	3572	0	6
